State;Continent;Owner;RT.com;Spt.ru;All %;OK;Fail;Flag;Euro %;OK;Fail;Flag;TTJA %;OK;Fail;Flag;NEPLP %;OK;Fail;Flag;Cat3 %;Cat5 %
GB;EU;Ask4 Limited;0;0;0.33;14;7;0;0.46;7;6;0;0.0;2;0;0;0.3;7;3;0;0.0;0.0
RU;EU;IT Ltd.;0;0;0.21;87;23;0;0.51;17;18;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
RU;EU;Rostelecom;0;0;0.19;81;19;0;0.48;16;15;0;0.0;8;0;0;0.11;62;8;0;0.0;0.0
DE;EU;myLoc managed IT AG;0;0;0.2;87;22;0;0.49;18;17;0;0.0;9;0;0;0.12;66;9;0;0.0;0.0
RU;EU;JSC ER-Telecom Holding;0;0;0.2;86;21;0;0.5;16;16;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
CH;EU;Bluewin;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
ES;EU;M247 Ltd;0;0;0.23;81;24;0;0.48;17;16;0;0.11;8;1;0;0.15;62;11;0;0.0;0.0
GB;EU;Gradwell Communications Limited;0;0;0.17;70;14;0;0.43;12;9;0;0.0;7;0;0;0.11;57;7;0;0.0;0.0
RU;EU;JSC ER-Telecom Holding;0;0;0.19;21;5;0;0.45;6;5;0;0.0;2;0;0;0.12;15;2;0;0.0;0.0
PL;EU;Netia SA;1;1;0.59;42;60;1;0.73;8;22;1;0.62;3;5;1;0.54;33;39;1;1.0;1.0
FR;EU;Association Gitoyen;0;0;0.19;84;20;0;0.52;15;16;1;0.0;9;0;0;0.11;66;8;0;0.33;0.2
GB;EU;IONOS SE;0;0;0.2;86;22;0;0.52;16;17;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
FR;EU;OVH SAS;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
DK;EU;Kracon ApS;0;0;0.19;88;21;0;0.47;18;16;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
AT;EU;M247 Ltd;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
DE;EU;Hetzner Online GmbH;0;0;0.21;82;22;0;0.53;14;16;1;0.11;8;1;0;0.13;65;10;0;0.33;0.2
GB;EU;UUNET;0;0;0.34;73;37;0;0.91;3;32;1;0.0;9;0;0;0.14;65;11;0;0.33;0.2
DE;EU;Hetzner Online GmbH;0;0;0.21;87;23;0;0.49;18;17;0;0.0;9;0;0;0.13;66;10;0;0.0;0.0
DE;EU;Contabo GmbH;0;0;0.21;85;22;0;0.52;16;17;1;0.0;8;0;0;0.12;67;9;0;0.33;0.2
DK;EU;Thomas Steen Rasmussen;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
UA;EU;Content Delivery Network Ltd;0;0;0.15;17;3;0;0.33;4;2;0;0.0;1;0;0;0.08;12;1;0;0.0;0.0
GR;EU;University Of Ioannina;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
GB;EU;IONOS SE;0;0;0.2;84;21;0;0.53;14;16;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
DK;EU;M247 Ltd;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
RU;EU;JSC ER-Telecom Holding;0;0;0.16;38;7;0;0.36;9;5;0;0.0;2;0;0;0.06;30;2;0;0.0;0.0
CH;EU;Bluewin;0;1;0.33;70;34;0;0.85;5;29;1;0.0;8;0;0;0.14;61;10;0;0.33;0.4
--;~~;XTOM;0;0;0.22;82;23;0;0.56;14;18;1;0.0;8;0;0;0.12;66;9;0;0.33;0.2
NL;EU;UUNET;0;0;0.34;73;37;0;0.91;3;32;1;0.0;9;0;0;0.14;65;11;0;0.33;0.2
SK;EU;SWAN, a.s.;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
DE;EU;Lennart Seitz;0;0;0.21;81;21;0;0.52;16;17;1;0.0;7;0;0;0.11;62;8;0;0.33;0.2
FR;EU;OVH SAS;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
EE;EU;Telia;1;1;0.45;60;50;0;1.0;0;35;1;1.0;0;9;1;0.21;60;16;0;0.67;0.8
